symbol,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,commissions,net_pnl,pnl_pct,exit_reason,bars_held
ADANIGREEN.NS,2025-09-22,1040.0,2025-09-23,1144.0,5,520.0,0.0,520.0,10.0,take_profit,1
ATGL.NS,2025-09-23,790.0,2025-09-24,750.5,5,-197.5,0.0,-197.5,-5.0,stop_loss,1
NAUKRI.NS,2025-09-23,1422.800049,2025-09-26,1351.660046,1,-71.140002,0.0,-71.140002,-5.0,stop_loss,3
TORNTPHARM.NS,2025-09-23,3678.800049,2025-09-26,3494.860046,1,-183.940002,0.0,-183.940002,-5.0,stop_loss,3
ADANIENT.NS,2025-09-23,2642.600098,2025-09-29,2510.470093,2,-264.26001,0.0,-264.26001,-5.0,stop_loss,4
SBIN.NS,2025-09-12,824.099976,2025-10-20,906.509973,48,3955.679883,0.0,3955.679883,10.0,take_profit,25
WIPRO.NS,2025-10-17,250.0,2025-10-20,240.899994,14,-127.400085,0.0,-127.400085,-3.640002,signal_exit,1
BANKBARODA.NS,2025-09-19,249.5,2025-10-27,274.45,40,998.0,0.0,998.0,10.0,take_profit,24
LT.NS,2025-09-17,3672.0,2025-10-30,4039.2,3,1101.6,0.0,1101.6,10.0,take_profit,29
NAUKRI.NS,2025-10-30,1389.199951,2025-11-06,1319.739954,6,-416.759985,0.0,-416.759985,-5.0,stop_loss,5
JINDALSTEL.NS,2025-10-29,1063.0,2025-11-07,1009.85,5,-265.75,0.0,-265.75,-5.0,stop_loss,6
MOTHERSON.NS,2025-09-15,105.760002,2025-11-07,103.800003,228,-446.879791,0.0,-446.879791,-1.853252,eod_force_close,37
HCLTECH.NS,2025-10-15,1486.03543,2025-11-07,1512.400024,4,105.458377,0.0,105.458377,1.774157,eod_force_close,16
RELIANCE.NS,2025-10-20,1440.0,2025-11-07,1478.0,14,532.0,0.0,532.0,2.638889,eod_force_close,13
INFY.NS,2025-10-24,1516.2874,2025-11-07,1476.800049,8,-315.898813,0.0,-315.898813,-2.604213,eod_force_close,10
ITC.NS,2025-10-24,415.950012,2025-11-07,404.049988,19,-226.100464,0.0,-226.100464,-2.860927,eod_force_close,10
ASIANPAINT.NS,2025-10-29,2520.0,2025-11-07,2613.800049,3,281.400146,0.0,281.400146,3.722224,eod_force_close,7
UPL.NS,2025-10-31,720.0,2025-11-07,747.950012,7,195.650085,0.0,195.650085,3.881946,eod_force_close,5
