symbol,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,commissions,net_pnl,pnl_pct,exit_reason,bars_held
ADANIENT,2025-09-23,2642.600098,2025-09-29,2510.470093,100,-13213.000488,0.0,-13213.000488,-5.0,stop_loss,4
ADANIGREEN,2025-09-22,1040.0,2025-09-22,1144.0,100,10400.0,0.0,10400.0,10.0,take_profit,0
AEGISLOG,2025-09-17,800.450012,2025-09-24,760.427512,100,-4002.250061,0.0,-4002.250061,-5.0,stop_loss,5
AGARWALEYE,2025-09-24,463.0,2025-09-29,509.3,100,4630.0,0.0,4630.0,10.0,take_profit,3
ASTRAL,2025-10-13,1424.599976,2025-11-06,1567.059973,100,14245.999756,0.0,14245.999756,10.0,take_profit,16
ATGL,2025-09-23,790.0,2025-09-23,750.5,100,-3950.0,0.0,-3950.0,-5.0,stop_loss,0
BANDHANBNK,2025-10-24,171.5,2025-10-31,162.925,100,-857.5,0.0,-857.5,-5.0,stop_loss,5
BANKBARODA,2025-09-19,249.5,2025-10-27,274.45,100,2495.0,0.0,2495.0,10.0,take_profit,24
BDL,2025-10-27,1548.0,2025-11-05,1481.099976,100,-6690.002441,0.0,-6690.002441,-4.321707,signal_exit,7
BLUEDART,2025-10-30,6598.0,2025-11-06,6268.1,100,-32990.0,0.0,-32990.0,-5.0,stop_loss,4
BSE,2025-10-15,2460.0,2025-10-31,2337.0,100,-12300.0,0.0,-12300.0,-5.0,stop_loss,11
CAMPUS,2025-09-18,282.299988,2025-09-25,268.184988,100,-1411.499939,0.0,-1411.499939,-5.0,stop_loss,5
CAMS,2025-10-28,3965.100765,2025-10-29,3766.845727,100,-19825.503825,0.0,-19825.503825,-5.0,stop_loss,1
CDSL,2025-10-13,1601.0,2025-11-06,1520.95,100,-8005.0,0.0,-8005.0,-5.0,stop_loss,17
CHOLAFIN,2025-09-17,1575.300049,2025-10-24,1732.830054,100,15753.000488,0.0,15753.000488,10.0,take_profit,25
CONCOR,2025-10-31,550.0,2025-11-06,522.5,100,-2750.0,0.0,-2750.0,-5.0,stop_loss,4
CREDITACC,2025-10-28,1472.199951,2025-10-29,1398.589954,100,-7360.999756,0.0,-7360.999756,-5.0,stop_loss,1
DEEPAKFERT,2025-10-30,1500.0,2025-11-06,1425.0,100,-7500.0,0.0,-7500.0,-5.0,stop_loss,5
ECLERX,2025-10-24,4389.0,2025-10-27,4827.9,100,43890.0,0.0,43890.0,10.0,take_profit,1
ELGIEQUIP,2025-10-30,508.0,2025-11-04,482.6,100,-2540.0,0.0,-2540.0,-5.0,stop_loss,3
ENGINERSIN,2025-10-31,206.0,2025-11-04,202.0,100,-400.0,0.0,-400.0,-1.941748,signal_exit,2
FSL,2025-09-12,369.0,2025-09-26,350.55,100,-1845.0,0.0,-1845.0,-5.0,stop_loss,10
GESHIP,2025-09-12,988.099976,2025-09-22,1086.909973,100,9880.999756,0.0,9880.999756,10.0,take_profit,6
GLAND,2025-09-16,2015.099976,2025-09-26,1914.344977,100,-10075.499878,0.0,-10075.499878,-5.0,stop_loss,8
GRAPHITE,2025-09-22,570.0,2025-10-03,541.5,100,-2850.0,0.0,-2850.0,-5.0,stop_loss,8
IEX,2025-10-29,147.0,2025-10-31,139.65,100,-735.0,0.0,-735.0,-5.0,stop_loss,2
INDGN,2025-09-18,589.950012,2025-09-26,560.452512,100,-2949.750061,0.0,-2949.750061,-5.0,stop_loss,6
INTELLECT,2025-10-28,1048.0,2025-11-03,1152.8,100,10480.0,0.0,10480.0,10.0,take_profit,4
JBCHEPHARM,2025-09-23,1733.900024,2025-09-25,1695.599976,100,-3830.004883,0.0,-3830.004883,-2.208896,signal_exit,2
JBMA,2025-09-15,715.0,2025-09-23,786.5,100,7150.0,0.0,7150.0,10.0,take_profit,6
JBMA,2025-10-31,680.0,2025-11-04,659.700012,100,-2029.998779,0.0,-2029.998779,-2.985292,signal_exit,2
JINDALSTEL,2025-10-29,1063.0,2025-11-07,1009.85,100,-5315.0,0.0,-5315.0,-5.0,stop_loss,6
JSWINFRA,2025-09-12,317.0,2025-09-24,348.7,100,3170.0,0.0,3170.0,10.0,take_profit,8
KAJARIACER,2025-10-20,1244.334393,2025-10-21,1219.000646,100,-2533.37472,0.0,-2533.37472,-2.035928,signal_exit,1
KARURVYSYA,2025-10-09,224.0,2025-10-21,246.4,100,2240.0,0.0,2240.0,10.0,take_profit,8
LAURUSLABS,2025-10-20,902.305465,2025-11-06,992.536012,100,9023.05465,0.0,9023.05465,10.0,take_profit,12
LT,2025-09-17,3672.0,2025-10-30,4039.2,100,36720.0,0.0,36720.0,10.0,take_profit,29
MAHABANK,2025-09-22,57.02,2025-09-26,54.169,100,-285.100002,0.0,-285.100002,-5.0,stop_loss,4
MFSL,2025-10-03,1622.0,2025-10-17,1540.9,100,-8110.0,0.0,-8110.0,-5.0,stop_loss,10
MOTILALOFS,2025-10-07,936.400024,2025-10-23,1030.040027,100,9364.000244,0.0,9364.000244,10.0,take_profit,11
NAUKRI,2025-09-23,1422.800049,2025-09-26,1351.660046,100,-7114.000244,0.0,-7114.000244,-5.0,stop_loss,3
NAUKRI,2025-10-30,1389.199951,2025-11-06,1319.739954,100,-6945.999756,0.0,-6945.999756,-5.0,stop_loss,5
NEWGEN,2025-10-29,996.549988,2025-11-07,946.722488,100,-4982.749939,0.0,-4982.749939,-5.0,stop_loss,7
NHPC,2025-09-18,87.5,2025-11-06,83.125,100,-437.5,0.0,-437.5,-5.0,stop_loss,33
NTPCGREEN,2025-10-31,104.449997,2025-11-07,99.227497,100,-522.249985,0.0,-522.249985,-5.0,stop_loss,5
OFSS,2025-09-12,9020.152657,2025-09-26,8569.145024,100,-45100.763283,0.0,-45100.763283,-5.0,stop_loss,10
OLAELEC,2025-10-20,57.5,2025-10-20,54.625,100,-287.5,0.0,-287.5,-5.0,stop_loss,0
ONESOURCE,2025-11-03,1854.099976,2025-11-07,1761.394977,100,-9270.499878,0.0,-9270.499878,-5.0,stop_loss,3
POONAWALLA,2025-09-19,502.100006,2025-10-06,552.310007,100,5021.000061,0.0,5021.000061,10.0,take_profit,10
PPLPHARMA,2025-09-16,204.899994,2025-09-26,194.654994,100,-1024.499969,0.0,-1024.499969,-5.0,stop_loss,8
PREMIERENE,2025-09-17,1089.949951,2025-09-22,1035.452454,100,-5449.749756,0.0,-5449.749756,-5.0,stop_loss,3
PTCIL,2025-09-18,15467.0,2025-10-03,17013.7,100,154670.0,0.0,154670.0,10.0,take_profit,10
SAGILITY,2025-09-19,46.869999,2025-09-23,44.526499,100,-234.349995,0.0,-234.349995,-5.0,stop_loss,2
SAGILITY,2025-10-13,46.09,2025-10-29,50.699,100,460.900002,0.0,460.900002,10.0,take_profit,11
SBIN,2025-09-12,824.099976,2025-10-20,906.509973,100,8240.999756,0.0,8240.999756,10.0,take_profit,25
SOBHA,2025-09-19,1629.900024,2025-09-26,1548.405023,100,-8149.500122,0.0,-8149.500122,-5.0,stop_loss,5
SWANCORP,2025-09-19,479.901734,2025-09-29,455.906647,100,-2399.508669,0.0,-2399.508669,-5.0,stop_loss,6
SWANCORP,2025-11-03,470.0,2025-11-06,446.5,100,-2350.0,0.0,-2350.0,-5.0,stop_loss,3
TARIL,2025-09-17,527.950012,2025-09-26,501.552512,100,-2639.750061,0.0,-2639.750061,-5.0,stop_loss,7
TATACHEM,2025-09-12,973.0,2025-09-29,924.35,100,-4865.0,0.0,-4865.0,-5.0,stop_loss,11
TATATECH,2025-09-16,711.950012,2025-09-26,676.352512,100,-3559.750061,0.0,-3559.750061,-5.0,stop_loss,8
TORNTPHARM,2025-09-23,3678.800049,2025-09-26,3494.860046,100,-18394.000244,0.0,-18394.000244,-5.0,stop_loss,3
TRITURBINE,2025-10-30,543.0,2025-11-07,515.85,100,-2715.0,0.0,-2715.0,-5.0,stop_loss,6
VENTIVE,2025-09-23,789.0,2025-09-26,749.55,100,-3945.0,0.0,-3945.0,-5.0,stop_loss,3
WELCORP,2025-10-31,945.0,2025-11-06,897.75,100,-4725.0,0.0,-4725.0,-5.0,stop_loss,4
WIPRO,2025-10-17,250.0,2025-10-20,240.899994,100,-910.00061,0.0,-910.00061,-3.640002,signal_exit,1
